# radius (m), temperature (K)
2.094772396074302495e+06 5.742400534663497638e+03 2.642808426284626160e+11 6.830459691075429163e+00
2.112084564636900090e+06 5.785690894613268028e+03 2.628553511528430176e+11 6.886909771166961569e+00
2.129396733199497685e+06 5.829268427139623782e+03 2.614210434666575012e+11 6.943359851258493975e+00
2.146708901762094814e+06 5.873132003637349953e+03 2.599779671820839539e+11 6.999809931350025494e+00
2.164021070324692409e+06 5.917280495501236146e+03 2.585261699113001099e+11 7.056260011441557900e+00
2.181333238887290005e+06 5.961712774126066506e+03 2.570656992664838257e+11 7.112710091533090306e+00
2.198645407449887600e+06 6.006427710906630637e+03 2.555966028598128662e+11 7.169160171624623601e+00
2.215957576012485195e+06 6.051424177237713593e+03 2.541189283034650879e+11 7.225610251716156007e+00
2.233269744575082790e+06 6.096701044514103160e+03 2.526327232096182251e+11 7.282060331807688414e+00
2.250581913137680385e+06 6.142257184130585301e+03 2.511380351904501343e+11 7.338510411899220820e+00
2.267894081700277980e+06 6.188091467481948712e+03 2.496349118581386108e+11 7.394960491990754115e+00
2.285206250262875576e+06 6.234202765962978447e+03 2.481234008248614502e+11 7.451410572082286521e+00
2.302518418825472705e+06 6.280589950968461380e+03 2.466035497027965088e+11 7.507860652173818039e+00
2.319830587388070300e+06 6.327251893893186207e+03 2.450754061041215515e+11 7.564310732265350445e+00
2.337142755950667895e+06 6.374187466131939800e+03 2.435390176410143433e+11 7.620760812356882852e+00
2.354454924513265491e+06 6.421395539079508126e+03 2.419944319256527405e+11 7.677210892448415258e+00
2.371767093075863086e+06 6.468874984130678058e+03 2.404416965702145386e+11 7.733660972539948553e+00
2.389079261638460681e+06 6.516624672680236472e+03 2.388808591868775024e+11 7.790111052631480959e+00
2.406391430201058276e+06 6.564643476122971151e+03 2.373119673878195190e+11 7.846561132723013365e+00
2.423703598763655871e+06 6.612930265853668971e+03 2.357350687852183533e+11 7.903011212814545772e+00
2.441015767326253001e+06 6.661483913267114076e+03 2.341502109912518616e+11 7.959461292906077290e+00
2.458327935888850596e+06 6.710303289758097890e+03 2.325574416180977173e+11 8.015911372997610584e+00
2.475640104451448191e+06 6.759387266721403648e+03 2.309568082779338379e+11 8.072361453089142103e+00
2.492952273014045786e+06 6.808734715551820955e+03 2.293483585829379883e+11 8.128811533180675397e+00
2.510264441576643381e+06 6.858344507644135774e+03 2.277321401452879639e+11 8.185261613272208692e+00
2.527576610139240976e+06 6.908215514393134072e+03 2.261082005771615906e+11 8.241711693363740210e+00
2.544888778701838572e+06 6.958346607193604541e+03 2.244765874907366943e+11 8.298161773455273504e+00
2.562200947264436167e+06 7.008736657440333147e+03 2.228373484981910400e+11 8.354611853546805023e+00
2.579513115827033762e+06 7.059384536528105855e+03 2.211905312117024536e+11 8.411061933638338317e+00
2.596825284389630891e+06 7.110289115851710449e+03 2.195361832434487915e+11 8.467512013729869835e+00
2.614137452952228487e+06 7.161449266805934712e+03 2.178743522056077576e+11 8.523962093821403130e+00
2.631449621514826082e+06 7.212863860785565521e+03 2.162050857103571777e+11 8.580412173912934648e+00
2.648761790077423677e+06 7.264531769185387930e+03 2.145284313698749084e+11 8.636862254004467943e+00
2.666073958640021272e+06 7.316451863400190632e+03 2.128444367963387451e+11 8.693312334095999461e+00
2.683386127202618867e+06 7.368623014824761412e+03 2.111531496019264832e+11 8.749762414187532755e+00
2.700698295765216462e+06 7.421044094853884417e+03 2.094546173988158875e+11 8.806212494279066050e+00
2.718010464327814057e+06 7.473713974882348339e+03 2.077488877991848450e+11 8.862662574370597568e+00
2.735322632890411187e+06 7.526631526304939143e+03 2.060360084152111206e+11 8.919112654462129086e+00
2.752634801453008782e+06 7.579795620516445524e+03 2.043160268590724792e+11 8.975562734553662381e+00
2.769946970015606377e+06 7.633205128911653446e+03 2.025889907429467773e+11 9.032012814645193899e+00
2.787259138578203972e+06 7.686858922885349784e+03 2.008549476790118103e+11 9.088462894736727193e+00
2.804571307140801568e+06 7.740755873832320503e+03 1.991139452794454041e+11 9.144912974828260488e+00
2.821883475703399163e+06 7.794894853147354297e+03 1.973660311564252625e+11 9.201363054919792006e+00
2.839195644265996758e+06 7.849274732225238040e+03 1.956112529221293335e+11 9.257813135011325301e+00
2.856507812828594353e+06 7.903894382460756788e+03 1.938496581887353516e+11 9.314263215102858595e+00
2.873819981391191948e+06 7.958752675248698324e+03 1.920812945684211121e+11 9.370713295194390113e+00
2.891132149953789078e+06 8.013848481983849524e+03 1.903062096733645020e+11 9.427163375285921632e+00
2.908444318516386673e+06 8.069180674060998172e+03 1.885244511157431946e+11 9.483613455377454926e+00
2.925756487078984268e+06 8.124748122874932051e+03 1.867360665077350464e+11 9.540063535468986444e+00
2.943068655641581863e+06 8.180549699820435308e+03 1.849411034615179138e+11 9.596513615560519739e+00
2.960380824204179458e+06 8.236584276292296636e+03 1.831396095892695923e+11 9.652963695652053033e+00
2.977692992766777053e+06 8.292850723685303819e+03 1.813316325031678162e+11 9.709413775743584551e+00
2.995005161329374649e+06 8.349347913394241914e+03 1.795172198153904419e+11 9.765863855835117846e+00
3.012317329891972244e+06 8.406074716813898704e+03 1.776964191381152649e+11 9.822313935926649364e+00
3.029629498454569373e+06 8.463030005339060153e+03 1.758692780835201416e+11 9.878764016018180882e+00
3.046941667017166968e+06 8.520212650364512228e+03 1.740358442637828369e+11 9.935214096109714177e+00
3.064253835579764564e+06 8.577621523285048170e+03 1.721961652910810852e+11 9.991664176201245695e+00
3.081566004142362159e+06 8.635255495495446667e+03 1.703502887775928345e+11 1.004811425629277899e+01
3.098878172704959754e+06 8.693113438390500960e+03 1.684982623354956970e+11 1.010456433638431228e+01
3.116190341267557349e+06 8.751194223364995196e+03 1.666401335769677124e+11 1.016101441647584380e+01
3.133502509830154944e+06 8.809496721813717159e+03 1.647759501141864929e+11 1.021746449656737710e+01
3.150814678392752539e+06 8.868019805131450994e+03 1.629057595593299561e+11 1.027391457665891039e+01
3.168126846955350135e+06 8.926762344712988124e+03 1.610296095245758667e+11 1.033036465675044191e+01
3.185439015517947264e+06 8.985723211953110876e+03 1.591475476221020508e+11 1.038681473684197343e+01
3.202751184080544859e+06 9.044901278246608854e+03 1.572596214640862732e+11 1.044326481693350672e+01
3.220063352643142454e+06 9.104295414988271659e+03 1.553658786627063904e+11 1.049971489702503824e+01
3.237375521205740049e+06 9.163904493572881620e+03 1.534663668301401672e+11 1.055616497711657154e+01
3.254687689768337645e+06 9.223727385395226520e+03 1.515611335785654297e+11 1.061261505720810483e+01
3.271999858330935240e+06 9.283762961850094143e+03 1.496502265201599426e+11 1.066906513729963635e+01
3.289312026893532835e+06 9.344010094332272274e+03 1.477336932671015625e+11 1.072551521739116964e+01
3.306624195456130430e+06 9.404467654236548697e+03 1.458115814315680542e+11 1.078196529748270294e+01
3.323936364018728025e+06 9.465134512957705738e+03 1.438839386257373047e+11 1.083841537757423445e+01
3.341248532581325155e+06 9.526009541890533001e+03 1.419508124617870483e+11 1.089486545766576597e+01
3.358560701143922750e+06 9.587091612429818269e+03 1.400122505518951721e+11 1.095131553775729927e+01
3.375872869706520345e+06 9.648379595970349328e+03 1.380683005082392883e+11 1.100776561784883079e+01
3.393185038269117940e+06 9.709872363906910323e+03 1.361190099429974060e+11 1.106421569794036408e+01
3.410497206831715535e+06 9.771568787634289038e+03 1.341644264683471680e+11 1.112066577803189560e+01
3.427809375394313131e+06 9.833467738547275076e+03 1.322045976964665527e+11 1.117711585812342889e+01
3.445121543956910260e+06 9.895568088040648945e+03 1.302395712395332642e+11 1.123356593821496041e+01
